# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-14.0334839671 FRAG  WHADJP ADJP .
-14.0334839671 FRAG  NP VP CC ADVP NP VP
-7.56733924286 FRAG  NN _.
-7.56733924286 FRAG  NP _and NP
-14.0334839671 FRAG  NP VP CC .
-14.0334839671 FRAG  WHNP PP , NP .
-7.56733924286 FRAG  ADVP _where
-14.0334839671 FRAG  NP , VP .
-7.56578524099 FRAG  ADJP WHNP PP .
-7.56578524099 FRAG  NOT PP SBAR
-6.8741920623 FRAG  SBAR VP
-3.83111479186 FRAG  VP
-6.87496996977 FRAG  NP _what _?
-7.56733924286 FRAG  NP , NP , NP , NP _, NP _, NP , VP .
-7.56733924286 FRAG  _just VP _.
-14.0334839671 FRAG  INTJ , WHNP PP .
-6.87496996977 FRAG  VP _.
-6.87496996977 FRAG  NP VP CC S _, FRAG
-14.0334839671 FRAG  WHNP WHNP .
-7.56733924286 FRAG  NP NOT NP _.
-14.0334839671 FRAG  NP PP .
-6.46924549193 FRAG  NP NP NP .
-6.87496996977 FRAG  CC _do _n't VB IN NP PP .
-7.56578524099 FRAG  SBAR WHNP S
-6.18221196999 FRAG  VP _, NP .
-5.48906478943 FRAG  NN
-7.56733924286 FRAG  _what _you VP , NP .
-14.0334839671 FRAG  CC ADVP SBARQ .
-4.62437470695 FRAG  NNP NNP .
-14.0334839671 FRAG  NP , NP , NP .
-5.62276302019 FRAG  _not _yet _.
-6.46976429868 FRAG  WHNP PRP VP .
-14.0334839671 FRAG  ADVP WHNP .
-7.56578524099 FRAG  ADVP NP ADJP .
-5.62276302019 FRAG  _but _what SQ _?
-7.56733924286 FRAG  INTJ , NP WHNP _?
-6.8741920623 FRAG  WHNP VP .
-7.56578524099 FRAG  INTJ , WHADVP NOT .
-6.87496996977 FRAG  _but PRP VP
-3.4579962646 FRAG  _because PRP VP _.
-6.46924549193 FRAG  CC NP
-14.0334839671 FRAG  ADVP SBAR .
-6.46924549193 FRAG  ADJP VP .
-7.56733924286 FRAG  _poor NN _.
-6.46976429868 FRAG  ADJP , INTJ _.
-7.56578524099 FRAG  INTJ ADJP .
-14.0334839671 FRAG  INTJ , NP WHNP .
-14.0334839671 FRAG  INTJ , NOT NP .
-5.17057567198 FRAG  NP _.
-6.87496996977 FRAG  _six NP NP NP CD .
-14.0334839671 FRAG  ADVP NP VP .
-7.56578524099 FRAG  WHADVP NP
-14.0334839671 FRAG  CC SBARQ .
-14.0334839671 FRAG  NOT NP , NP .
-5.77687662247 FRAG  _careful .
-4.2015461234 FRAG  NN NN .
-14.0334839671 FRAG  CC SINV .
-14.0334839671 FRAG  NP NP NP NP PP
-14.0334839671 FRAG  NP NP NP ADVP .
-14.0334839671 FRAG  ADJP WHPP .
-7.56733924286 FRAG  CC S _and S CC FRAG
-5.48925943663 FRAG  _here
-7.56578524099 FRAG  SBAR , NP VP
-14.0334839671 FRAG  SBAR , VP .
-7.56578524099 FRAG  SBARQ CC FRAG
-14.0334839671 FRAG  WHADJP .
-14.0334839671 FRAG  ADJP , NP , NP .
-14.0334839671 FRAG  NP , ADJP .
-4.34995753518 FRAG  NP PP _.
-6.8741920623 FRAG  VP , INTJ .
-6.8741920623 FRAG  NOT VP , VP .
-7.56733924286 FRAG  INTJ , NOT PP _.
-14.0334839671 FRAG  INTJ PP .
-14.0334839671 FRAG  SBAR CC S .
-5.0037066989 FRAG  NP ADVP .
-5.48925943663 FRAG  _but NP VP .
-14.0334839671 FRAG  VP WHNP .
-7.56578524099 FRAG  SBAR SBAR .
-7.56578524099 FRAG  ADJP NP VP .
-7.56578524099 FRAG  ADVP NP , ADJP .
-5.48925943663 FRAG  NP CC NP _.
-7.56733924286 FRAG  ADVP NP _?
-5.95914627301 FRAG  _like NP .
-14.0334839671 FRAG  NP , NP .
-4.73559069811 FRAG  JJ NN _?
-14.0334839671 FRAG  NP S .
-14.0334839671 FRAG  ADVP NP ADVP .
-14.0334839671 FRAG  NP CC NP
-7.56733924286 FRAG  S CC S _and
-6.87496996977 FRAG  SBAR _but NP VP .
-5.37149803078 FRAG  _just CD _.
-5.62254057552 FRAG  NP .
-6.18221196999 FRAG  NP NP _?
-6.87496996977 FRAG  _and ADVP VP _.
-6.46976429868 FRAG  _what NN _?
-5.62276302019 FRAG  IN NP _.
-7.56578524099 FRAG  INTJ .
-14.0334839671 FRAG  SBAR S .
-7.56578524099 FRAG  ADVP WHADVP .
-14.0334839671 FRAG  NP , NP , NP , NP , NP .
-14.0334839671 FRAG  NN NNS
-7.56733924286 FRAG  NP ADVP _what S _.
-14.0334839671 FRAG  PP NP VP
-14.0334839671 FRAG  CC S
-6.46924549193 FRAG  ADVP PP
-6.46976429868 FRAG  _because _then PRP VP .
-7.56578524099 FRAG  S , CC NP PP .
-6.87496996977 FRAG  CD , NP _, NP _, NP
-14.0334839671 FRAG  NP , NP , NP , NP .
-3.67704357739 FRAG  IN _the NN .
-4.86074162554 FRAG  _Adam _!
-7.56733924286 FRAG  NP , ADJP _.
-7.56578524099 FRAG  NP ADJP NP .
-7.56733924286 FRAG  ADJP _what NP .
-7.56578524099 FRAG  PP CC
-6.46976429868 FRAG  ADVP PRP VP
-14.0334839671 FRAG  CC WHNP .
-5.77687662247 FRAG  NP CC WHNP _?
-14.0334839671 FRAG  NP VP NP .
-7.56733924286 FRAG  _careful , ADJP .
-4.57300763874 FRAG  PP .
-7.56578524099 FRAG  NP PRT NP PRT NP PRT .
-7.56733924286 FRAG  S CC FRAG _.
-14.0334839671 FRAG  ADVP VP .
-14.0334839671 FRAG  ADVP WHADVP VP
-14.0334839671 FRAG  NP , NP , NP , NP , NP
-6.46924549193 FRAG  NOT SBAR .
