# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-6.2261119229 VBZ  _rolls
-4.84603519839 VBZ  _puts
-2.67870558513 VBZ  _goes
-6.2261119229 VBZ  _lights
-3.28931406813 VBZ  _needs
-5.53710553501 VBZ  _opens
-6.2261119229 VBZ  _fights
-4.62330753397 VBZ  _lives
-5.53710553501 VBZ  _cries
-5.53710553501 VBZ  _dries
-5.53710553501 VBZ  _tries
-6.2261119229 VBZ  _changes
-4.15392805953 VBZ  _walks
-6.2261119229 VBZ  _blinks
-5.13302451017 VBZ  _spells
-5.53710553501 VBZ  _wakes
-5.13302451017 VBZ  _throws
-6.2261119229 VBZ  _screws
-5.53710553501 VBZ  _scares
-6.2261119229 VBZ  _thinks
-6.2261119229 VBZ  _shaves
-5.53710553501 VBZ  _flies
-6.2261119229 VBZ  _cuts
-4.84603519839 VBZ  _watches
-6.2261119229 VBZ  _lands
-6.2261119229 VBZ  _runs
-6.2261119229 VBZ  _finds
-6.2261119229 VBZ  _rhymes
-4.84603519839 VBZ  _seems
-6.2261119229 VBZ  _pats
-5.53710553501 VBZ  _sticks
-5.53710553501 VBZ  _rocks
-6.2261119229 VBZ  _folds
-8.8933456781 VP  VBZ -NONE- _on _his _head
-9.58626586967 VP  _put ADJP
-5.36720551561 VP  _see NP
-7.02170067761 VP  _'re VP
-9.58626586967 VP  _'re _looking PP
-7.97710035021 VP  VBG ADVP NP
-9.58626586967 VP  AUX _n't NP ADVP
-8.8933456781 VP  _pretend _to VP
-7.50722159254 VP  _'s VBN NP
-6.69629768339 VP  VB PP ADVP
-7.02173560906 VP  _fly
-17.2838412165 VP  VBD NP PRT ADVP ADVP
-7.38944486395 VP  _sit _down
-17.2838412165 VP  MD NOT NP
-8.8933456781 VP  VB PP PP _*T*
-8.48795624444 VP  VB _the NN WHADVP
-7.10177540573 VP  _'s VBG IN NP
-8.8933456781 VP  _are PRP NP
-8.89311868911 VP  ADVP VBZ NP SBAR
-8.20031201136 VP  _taking NP PRT
-17.2838412165 VP  ADVP VP
-8.8933456781 VP  _sitting PP
-7.50722159254 VP  _stand _on NP
-8.20031201136 VP  MD _n't _have _one
-7.79488474406 VP  VB _yet
-5.2692015106 VP  VBZ NP
-17.2838412165 VP  VB ADVP WH
-17.2838412165 VP  VB NP ADJP PRT
-7.02173560906 VP  COP NNS
-9.5858120462 VP  VB NP PRT ADVP SBAR S
-8.20031201136 VP  AUX VBN IN NP
-9.58626586967 VP  _doing _*T*
-7.64074487615 VP  VBZ _up
-8.20031201136 VP  _come ADVP PP
-5.89782909182 VP  _had NP
-8.8933456781 VP  COP NOT NP ADJP VBG NP VP
-17.2838412165 VP  NP COP VP
-6.81410279406 VP  _must _be NP
-7.02173560906 VP  _see PRP VP
-7.64074487615 VP  _know _that
-7.5071648308 VP  VBN PRT
-6.59094221341 VP  _'s DT NN
-7.28408939397 VP  _use NP _*T*
-8.8933456781 VP  _call PRP$ _children NP
-6.2908662136 VP  _made NP
-9.5858120462 VP  VBP WHADVP PP ADVP
-8.48795624444 VP  VBN -NONE-
-17.2838412165 VP  COP NP FRAG
-17.2838412165 VP  COP ADJP PP
-6.06034601782 VP  _is _that ADJP
-7.5071648308 VP  RB VBG
-8.8933456781 VP  MD COMP _you VP
-17.2838412165 VP  COP NOT ADVP PP
-5.09807842686 VP  VB _it PP
-8.20031201136 VP  _likes VP
-8.20019849754 VP  VB NP ADJP ADVP
-6.94763013206 VP  _do -NONE- PP
-9.5858120462 VP  VB PRT ADVP PP
-8.20031201136 VP  _see WHNP NP VP
-8.48795624444 VP  VBD NP RP ADVP
-8.48780490127 VP  VBN SBAR
-6.59096491926 VP  _supposed _to VP
-7.64068000638 VP  VBD ADJP
-7.5071648308 VP  VBZ WHNP
-8.8933456781 VP  _close _your _eyes
-6.40864714683 VP  _is NP
-8.8933456781 VP  VBZ RB RB
-17.2838412165 VP  RB AUX NOT VP
-7.97719116436 VP  _let _Paul VP
-17.2838412165 VP  AUX NP ADVP VP
-9.5858120462 VP  VBN NP NP
-9.58626586967 VP  _do _n't VB IN NP PP
-17.2838412165 VP  VBN S
-6.87863942304 VP  _know PRP VP
-6.45120593856 VP  _'ve VP
-8.48795624444 VP  _use NP PP -NONE-
-9.58626586967 VP  _were NP WHNP
-7.97719116436 VP  VB _that NN PP
-7.10177540573 VP  _lost NP
-9.58626586967 VP  VBP NP _where
-6.59096491926 VP  _have DT NN PP
-7.97719116436 VP  _stop VP
-7.50722159254 VP  VB _one
-5.65488536194 VP  _need NP
-8.20019849754 VP  VP CC RB VP
-7.64074487615 VP  _had _to VP
-8.20031201136 VP  VBD NP TO VP
-9.58626586967 VP  _going _*T*
-17.2838412165 VP  VB VP ADVP
-9.5858120462 VP  VB INTJ
-8.48795624444 VP  VBD WRB
-9.5858120462 VP  AUX S SBAR
-6.15261550606 VP  VBN
-8.20031201136 VP  _fall _out
-8.20019849754 VP  VBZ NP ADJP
-7.97719116436 VP  _means VP
-7.97719116436 VP  _need _one
-8.48780490127 VP  VBP NP PRT PP
-8.20019849754 VP  VBP NP NP
-9.58626586967 VP  _'m NOT ADJP
-6.81407441198 VP  VB NP NP
-5.38202050172 VP  _can _n't VP
-7.97719116436 VP  _close NP
-17.2838412165 VP  AUX NOT NP
-8.8933456781 VP  VBD RB PP
-8.8933456781 VP  COP _that SBAR
-17.2838412165 VP  VB PP NP
-7.50722159254 VP  _'d _better VP
-7.79488474406 VP  MD VB NP SBAR
-6.94763013206 VP  _may VP
-7.79488474406 VP  _take _it PP
-8.48795624444 VP  _stay ADVP
-8.8933456781 VP  VB PRP
-7.79488474406 VP  _get VBN ADVP
-17.2838412165 VP  MD NOT ADVP
-7.64074487615 VP  _'s NOT PP
-8.8933456781 VP  _only VBD _me NP
-7.02173560906 VP  _be _*T*
-9.58626586967 VP  _are _*T*
-17.2838412165 VP  RB VP
-7.18878334246 VP  _wo _n't VP
-8.8933456781 VP  _push _this PRT
-5.78003722595 VP  COP NP PP
-7.97710035021 VP  VBD NP PRT
-7.79488474406 VP  _happened _to NP
-17.2838412165 VP  ADVP VBD NP NP
-17.2838412165 VP  VBP NOT NP PP
-7.97719116436 VP  _bring NP NP
-17.2838412165 VP  VB NP ADVP PRT ADVP
-7.28408939397 VP  _made PP
-8.8933456781 VP  _'ll _come PRT PP
-8.8933456781 VP  VB WHNP _*T*
-17.2838412165 VP  MD NOT ADVP VP
-6.40862822517 VP  _let _'s VP
-9.58626586967 VP  _is NP -NONE- ADVP
-9.5858120462 VP  VBN WHNP
-6.64225701859 VP  _were VP
-8.20019849754 VP  VBN NP VP
-6.49565680365 VP  VBD NP -NONE-
-7.97719116436 VP  AUX VBG NP PP
-6.87863942304 VP  COP NNP
-17.2838412165 VP  COP ADJP S
-6.2908662136 VP  VB DT NN
-17.2838412165 VP  VB NOT NP
-9.58626586967 VP  _putting NP ADVP PP
-8.8933456781 VP  _want TO VP ADVP
-8.8933456781 VP  _are NP VBG NP
-9.58626586967 VP  _is _it -NONE-
-7.38944486395 VP  _did _what
-8.48795624444 VP  VBZ _to _write
-7.38944486395 VP  _knocked NP RP
-4.5177814234 VP  VB
-7.50722159254 VP  _make NP NP
-9.58626586967 VP  VB NP NP _and
-7.18878334246 VP  _'s _not VP
-8.8933456781 VP  _is _this -NONE-
-17.2838412165 VP  VBD ADVP S
-7.38944486395 VP  _did NP
-9.5858120462 VP  VBZ ADJP ADVP
-8.8933456781 VP  _will _come _off
-7.50722159254 VP  _look IN _it ADVP
-9.58626586967 VP  VB NP _back PRT ADVP
-7.79480906388 VP  VBD -NONE- PP
-8.8933456781 VP  _hit _Paul PP
-9.5858120462 VP  VBD NP NP ADVP
-7.18878334246 VP  _like NN
-17.2838412165 VP  COP ADVP NOT ADJP
-6.00316311707 VP  _going TO VP
-17.2838412165 VP  COP NP ADVP ADJP
-6.94763013206 VP  _had NP PP
-6.45116645033 VP  VBG NP PP
-17.2838412165 VP  AUX NOT NP ADVP
-7.97719116436 VP  AUX _n't VP
-9.5858120462 VP  VB NP ADVP PP ADVP
-9.58626586967 VP  VBG IN NP
-17.2838412165 VP  VBZ ADVP NP VP
-9.58626586967 VP  COP _it NP
-6.2193927502 VP  COP ADVP
-8.20031201136 VP  VBD _a
-7.64068000638 VP  TO VB NP
-6.06034601782 VP  _'re VBG NP
-8.89311868911 VP  MD ADVP
-17.2838412165 VP  VBN NP PP ADVP
-8.20031201136 VP  _like _for NP VP
-17.2838412165 VP  VB NP SBAR ADVP
-8.48795624444 VP  _do NOT VB NP _either
-8.8933456781 VP  _put NP ADVP _*T*
-9.58626586967 VP  _was NP NP PP
-17.2838412165 VP  COP NP WHNP
-17.2838412165 VP  COP NOT S
-8.20031201136 VP  _put _what PP
-7.50722159254 VP  COP DT _big _boy
-5.32402722976 VP  VB RB
-8.20031201136 VP  VBD -NONE- NP
-9.58626586967 VP  _can PRP VP
-7.97719116436 VP  VB SBAR -NONE-
-17.2838412165 VP  COP DT VP
-6.64225701859 VP  _give PRP NP
-8.48795624444 VP  VBG IN _*T*
-8.48780490127 VP  VBZ ADVP NP
-7.79488474406 VP  _write _on DT _paper
-7.97719116436 VP  _need _*T*
-7.79488474406 VP  _spells NP
-7.79488474406 VP  _think _she VBZ NP
-6.81410279406 VP  _do _*T* _with NP
-6.81410279406 VP  _ask NP
-6.2193927502 VP  _'s PP
-7.02173560906 VP  VB _your NN
-6.54217583634 VP  _goes PP
-9.5858120462 VP  VB PRT ADVP SBAR
-7.02173560906 VP  VB NP _to VP
-6.87863942304 VP  _put NP PRT
-7.64074487615 VP  VBP NP _*T*
-6.64225701859 VP  _put _them PP
-7.18878334246 VP  _'ve VBN NP
-7.79488474406 VP  _do _*T* _with _it
-8.20019849754 VP  COP _*T*
-6.81407441198 VP  _can VP
-6.87863942304 VP  _play PP
-17.2838412165 VP  VBD WHADVP
-7.79480906388 VP  VBZ NP ADVP
-9.5858120462 VP  ADVP VBD PRT
-5.9231466087 VP  _play _with NP
-9.5858120462 VP  AUX S S
-6.59096491926 VP  _ask _Ursula SBAR
-7.79480906388 VP  _do NOT VP
-5.29625423707 VP  _think _so
-6.45120593856 VP  VBD NP IN NP
-9.5858120462 VP  VBD PP NP
-6.87863942304 VP  _do _that -NONE-
-9.5858120462 VP  VB PRT NP PP
-8.48795624444 VP  _wear NP _in _the _snow
-8.20031201136 VP  COP _n't NP ADVP
-17.2838412165 VP  VBG WHADVP
-8.20031201136 VP  _happening
-8.20019849754 VP  ADVP VBP NP
-8.8933456781 VP  _is NP NP
-6.94759769559 VP  VB ADVP PP
-17.2838412165 VP  VB NP PP S
-7.97719116436 VP  VBG NP RP ADVP
-6.75347984181 VP  _'d _like S
-7.5071648308 VP  _have VP
-9.5858120462 VP  VBG NP PP SBAR
-6.69632291202 VP  _pretend
-7.50722159254 VP  _show _it PP
-6.09019857622 VP  _like _to VP
-6.75347984181 VP  AUX _n't _want NP
-9.5858120462 VP  VBN NP SBAR
-6.03135886257 VP  _do _it
-8.20019849754 VP  VB NP NP PRT
-7.64074487615 VP  _fell ADVP
-7.79480906388 VP  COP NOT
-7.28408939397 VP  _let _'s _see
-7.64074487615 VP  _drive PP
-6.1209556135 VP  COP JJ
-9.58626586967 VP  _think NP COP _*T*
-8.20031201136 VP  _'re VBG NP _over
-8.8933456781 VP  _draw _a _picture PP
-9.5858120462 VP  AUX ADVP NP VP
-7.18878334246 VP  _do _n't _throw NP
-7.64068000638 VP  VBG NP PRT
-7.97719116436 VP  _wake NP PRT
-5.29624179523 VP  VBD
-8.89311868911 VP  ADVP VBZ NP
-7.97719116436 VP  _has DT _beginning NN PP
-9.58626586967 VP  VBD ADVP SBAR PRP VP
-9.5858120462 VP  MD NOT ADVP WHNP
-9.5858120462 VP  AUX NOT NP CC VP
-7.97719116436 VP  _tell _me NP
-8.8933456781 VP  _was FRAG _or NP
-8.48795624444 VP  _look SBAR
-6.64225701859 VP  _are NP _going TO VP
-17.2838412165 VP  VB NP NP SBAR ADVP
-8.8933456781 VP  _are NP _*T*
-8.8933456781 VP  _write _with NP PP
-9.58626586967 VP  _was _it -NONE-
-5.57937845703 VP  MD VB NP
-7.97710035021 VP  VB PRT NP ADVP
-7.97719116436 VP  _'re _a _little _boy
-7.28408939397 VP  VBD _to VP
-8.89311868911 VP  VBN PRT PP
-17.2838412165 VP  ADVP VBG NP PRT
-7.64074487615 VP  VB RB -NONE-
-8.20031201136 VP  _ask _him _if NP VP
-8.8933456781 VP  _can _n't ADVP
-7.18878334246 VP  _do _n't VB NP ADVP
-7.97719116436 VP  _go PP ADVP
-8.8933456781 VP  VB NP NP SBAR _*T*
-17.2838412165 VP  VBZ NOT NP
-8.20031201136 VP  _do -NONE- ADVP
-8.48795624444 VP  _wo NOT PRP VP
-7.10177540573 VP  _catch NP
-17.2838412165 VP  VBZ NP S
-8.20031201136 VP  _start VP
-8.20031201136 VP  _thank PRP _very RB
-17.2838412165 VP  VB WHNP ADVP
-6.09019857622 VP  _is
-7.18874206023 VP  VB ADJP
-8.20019849754 VP  VBN NP ADVP
-9.5858120462 VP  VB NOT VP
-8.48795624444 VP  MD _'t _march
-9.5858120462 VP  ADVP VB NP ADVP
-9.5858120462 VP  VBD ADVP SBAR
-9.5858120462 VP  VBD PRT SBAR
-8.89311868911 VP  VBD NP PRT NP
-8.20019849754 VP  AUX ADVP
-17.2838412165 VP  VBD SBARQ
-7.02173560906 VP  _talking PP
-6.18549224248 VP  VBP NP
-7.97719116436 VP  COP _something _*NULL* PRP VP
-6.54217583634 VP  VBD NP RP
-7.97719116436 VP  _did _n't _see NP
-17.2838412165 VP  VBP ADVP ADVP
-17.2838412165 VP  VBZ NP PP ADVP
-17.2838412165 VP  COP NOT NP ADVP
-7.97719116436 VP  _'re _silly
-7.38944486395 VP  VB _another NN
-8.8933456781 VP  VB _those ADVP _up PP
-9.5858120462 VP  VB NP NP NP
-17.2838412165 VP  VB NP WHADVP
-9.5858120462 VP  ADVP VB PP
-8.48795624444 VP  _have _*T* _now
-6.12096980485 VP  _put NP _on
-8.20031201136 VP  _'re VBG ADVP
-8.20031201136 VP  _thinks NP VP
-5.758058758 VP  _know SBAR
-8.48795624444 VP  VB NNS IN NP
-5.45956354023 VP  VB NP SBAR
-17.2838412165 VP  COP NOT WHNP
-8.8933456781 VP  RB _have _two
-8.48795624444 VP  COP _not NNP
-9.5858120462 VP  VB INTJ ADVP
-7.18878334246 VP  _said PRP VP
-7.97719116436 VP  _'s _happening
-7.64068000638 VP  VBD PRT NP
-7.50722159254 VP  COP PP -NONE-
-9.58626586967 VP  _'s NP _name _*T*
-9.5858120462 VP  VB WHADVP ADVP
-17.2838412165 VP  VB SBAR NP
-8.89311868911 VP  VB PRT ADVP ADVP
-8.20031201136 VP  _tie _your _shoes
-17.2838412165 VP  ADVP VB PRT
-7.79488474406 VP  VB -NONE- PP
-7.2840439838 VP  VBZ PP PP
-8.20031201136 VP  _put _this ADVP
-6.94763013206 VP  _sit _on NP
-7.97719116436 VP  _have _to VB
-9.58626586967 VP  _are NP JJ ADVP
-9.5858120462 VP  VB ADVP S
-8.20031201136 VP  _were
-8.48780490127 VP  VB CC VB
-17.2838412165 VP  VB FRAG ADVP
-17.2838412165 VP  VB NP PRT NP
-7.02173560906 VP  VB _some PP
-6.69632291202 VP  _think _they VP
-8.48795624444 VP  _change _your _diaper
-7.18878334246 VP  _look RB
-8.48795624444 VP  _hurt PRP$ _head
-7.2840439838 VP  VB NP NP ADVP
-7.97719116436 VP  _put NP IN NP PP
-17.2838412165 VP  MD PP
-7.28408939397 VP  _leave NP ADVP
-17.2838412165 VP  VBZ NP PP SBAR
-8.48780490127 VP  VBG WHNP
-7.64068000638 VP  VB -NONE-
-17.2838412165 VP  VB PRT ADVP
-7.97710035021 VP  VBD NP PP ADVP
-7.28408939397 VP  _did _you
-6.94759769559 VP  VBZ ADVP
-7.79488474406 VP  _caught NP
-8.8933456781 VP  _'m _supposed _to VP
-9.58626586967 VP  _takes NP S
-9.5858120462 VP  ADVP VBN PP
-6.81410279406 VP  _know WHNP NP VP
-8.8933456781 VP  VBP NP PRT _again
-9.5858120462 VP  VBG NP WHPP
-7.38944486395 VP  _sounded PP
-7.50722159254 VP  _'s DT NN SBAR
-8.89311868911 VP  MD WHNP
-6.36782590918 VP  _have NP PP
-6.2908493943 VP  COP WHNP
-7.64074487615 VP  _lost _your NN
-6.69632291202 VP  _might VP
-7.97719116436 VP  _go PP DT _morning
-7.97719116436 VP  _would _n't PRP VP
-7.38944486395 VP  _drink _it
-7.18874206023 VP  COP SBAR
-7.64074487615 VP  _hear NP VB
-8.8933456781 VP  _can PRP VB _that
-8.48795624444 VP  _can _n't NP VP
-8.48795624444 VP  _put _it _up
-7.64074487615 VP  VBP NP _to VP
-7.97719116436 VP  _looked PP
-6.18550737989 VP  _was VP
-7.64074487615 VP  _draw _on NP
-9.58626586967 VP  _is ADVP ADVP
-7.38944486395 VP  _'s VBN
-9.5858120462 VP  COP ADVP ADVP PP
-7.64068000638 VP  VBP NP VP
-6.81410279406 VP  _'s VBG
-6.49565680365 VP  _let NP _see
-8.20031201136 VP  COP NOT _it
-6.18550737989 VP  VBG _on NP
-7.97719116436 VP  _show NP _how
-9.58626586967 VP  ADVP VBN _out
-8.48795624444 VP  COP _better SBAR
-17.2838412165 VP  VBD NP PRT ADVP
-7.50722159254 VP  _take NP RB
-7.28408939397 VP  VB _something
-5.97578971277 VP  _think _you VP
-7.28408939397 VP  _giving NP NP
-17.2838412165 VP  VB PP PP ADVP
-17.2838412165 VP  AUX VP PP
-6.21940840958 VP  _want NP
-8.89311868911 VP  VB NP NP SBAR
-6.32860589468 VP  VB PP -NONE-
-7.50722159254 VP  _make _it ADJP
-8.48795624444 VP  _throw NP
-17.2838412165 VP  VP CC S
-7.18878334246 VP  _got NP
-7.5071648308 VP  _say
-8.48780490127 VP  VBG PRT PP
-9.5858120462 VP  VBD PRT NP NP
-7.79488474406 VP  _are NP ADJP
-6.87863942304 VP  _put NP -NONE-
-8.8933456781 VP  _take _some _pennies PP
-8.48795624444 VP  VBZ RP NP
-9.5858120462 VP  VBG NP PP ADVP
-17.2838412165 VP  AUX NP S
-7.64074487615 VP  _put NP _back RP
-9.58626586967 VP  _never VBN NP
-7.50722159254 VP  _make NP VP
-7.79488474406 VP  VBD PP IN NP
-8.20031201136 VP  _putting NP PP ADVP
-7.97719116436 VP  AUX _broken
-7.97710035021 VP  AUX _n't PRP
-7.38939440859 VP  VBD NP SBAR
-9.58626586967 VP  AUX _n't _think _that VP
-8.20019849754 VP  _get
-9.58626586967 VP  VBG _*T* _with NP
-9.58626586967 VP  _say NP COP -NONE-
-9.5858120462 VP  VBD NP PP NP
-9.5858120462 VP  VBN PRT ADJP
-8.8933456781 VP  _'s _that NP -NONE-
-7.79488474406 VP  _do _you _want _to VP
-7.64074487615 VP  _must _have VP
-6.40862822517 VP  MD _n't VP
-7.97719116436 VP  _are NNS PP
-8.8933456781 VP  _seem TO
-9.5858120462 VP  VB ADJP SBAR
-6.75345312919 VP  _'s _not NP
-7.79488474406 VP  _listen PP
-8.8933456781 VP  VBD ADVP _to VP
-9.5858120462 VP  VBZ PP SBAR
-7.02173560906 VP  _used _to VP
-7.79488474406 VP  _look ADVP PP
-7.64074487615 VP  _came IN NP
-8.8933456781 VP  VBZ NP IN ADVP
-7.18874206023 VP  VB ADVP SBAR
-8.8933456781 VP  COP _n't _that NP
-9.5858120462 VP  NNS PP
-17.2838412165 VP  VBD NP PP PP
-7.79465772071 VP  TO VP
-8.48795624444 VP  _'s _not SBAR
-17.2838412165 VP  AUX PP
-7.79488474406 VP  VBG -NONE- PP
-7.18878334246 VP  _put NP _down
-17.2838412165 VP  AUX NP NP
-7.50722159254 VP  COP DT JJ NN SBAR
-6.87863942304 VP  MD VB NP PP
-8.20031201136 VP  _think NP VP ADVP
-8.20031201136 VP  _shall PRP VP
-8.48795624444 VP  _go _around PP
-6.94753282582 VP  TO
-5.87313675614 VP  VB _it RP
-7.64074487615 VP  _'re VBG _a NN
-7.64074487615 VP  _mean NP VP
-6.45120593856 VP  _go RB
-8.48780490127 VP  VBD NP ADJP
-6.94763013206 VP  _say NN
-8.20031201136 VP  VB PRP$ _fingers
-9.58626586967 VP  AUX _n't _he VP
-7.79480906388 VP  VBG PP PP
-7.1017375635 VP  VB NP ADVP ADVP
-7.1017375635 VP  VB NP PRT PP
-7.64074487615 VP  AUX PRP VP
-8.89311868911 VP  AUX NOT VP ADVP
-8.8933456781 VP  VB _him VP
-8.8933456781 VP  _belong _there
-9.58626586967 VP  _said
-7.97710035021 VP  VBG PP ADVP
-17.2838412165 VP  VBG ADVP ADVP
-17.2838412165 VP  VP PP S
-4.97157690079 VP  VB NP PP
-8.48795624444 VP  VB WP
-17.2838412165 VP  ADVP VBZ NP PRT SBAR
-17.2838412165 VP  VBZ NP ADVP ADVP
-8.48780490127 VP  COP NOT PP ADVP
-7.79488474406 VP  _hugged PRP
-6.81407441198 VP  VBZ NP PP
-8.48780490127 VP  VBD NP PP SBAR
-7.79488474406 VP  _wear NP
-9.5858120462 VP  VBZ PRT PP
-6.75347984181 VP  _did _n't
-8.8933456781 VP  _hear _something SBAR
-7.64074487615 VP  _is _n't _that _nice
-17.2838412165 VP  COP ADVP ADJP
-8.20031201136 VP  COP _to VP
-6.12094142236 VP  _going _to VP
-8.20031201136 VP  _'s _just NP
-9.5858120462 VP  VB ADVP ADJP
-9.5858120462 VP  VBG ADJP ADVP
-8.48795624444 VP  VBD PP -NONE-
-8.48795624444 VP  _be ADJP ADVP
-9.5858120462 VP  VBZ NP PRT SBAR
-9.58626586967 VP  VBD NP _up ADVP ADVP
-8.8933456781 VP  VB NP RP SBAR
-6.54215421168 VP  VBD NP PP
-7.64074487615 VP  _hang NP _up
-5.54364472992 VP  MD
-8.48795624444 VP  _need _some _what
-17.2838412165 VP  ADVP VBN PRT
-8.89311868911 VP  VBG VP
-9.5858120462 VP  VB NP SBAR PP
-9.58626586967 VP  _can NOT VP ADVP
-7.97719116436 VP  _is -NONE- PP
-8.20031201136 VP  COP _a JJ _little _boy
-9.5858120462 VP  VBN ADVP SBAR
-7.1017375635 VP  VBD VP
-7.18874206023 VP  VB NP PRT ADVP
-7.97719116436 VP  VB _you NP
-9.5858120462 VP  TO VP ADVP
-8.8933456781 VP  VBN DT _whole NN _of NN ADVP
-8.8933456781 VP  AUX _a NN VBN
-7.97719116436 VP  _let _me VB NP
-8.8933456781 VP  VB _what SBAR
-8.8933456781 VP  _have _a WP
-6.2908662136 VP  _take NP
-7.97719116436 VP  COP DT NN
-9.5858120462 VP  VB ADVP PP SBAR
-9.5858120462 VP  VBP NP NP PRT
-5.36720551561 VP  VB NP RP
-6.81410279406 VP  VBZ _like NP
-7.18878334246 VP  _'re VBG NP PP
-6.94763013206 VP  COP _home
-7.50722159254 VP  VB PRP _a NN
-6.25449917012 VP  _hit NP
-8.48795624444 VP  _thought S
-7.64068000638 VP  _did NP VB
-17.2838412165 VP  VBG NP PRT ADVP
-9.5858120462 VP  VBN ADVP ADVP
-7.97719116436 VP  _press NP _down
-9.58626586967 VP  _would _you VP
-6.32857096262 VP  _think NP VP
-8.8933456781 VP  VB NP ADVP DT NN
-6.64225701859 VP  _give NP NP
-8.8933456781 VP  NP COP _drinking NP
-7.79488474406 VP  _is NOT NP ADJP
-7.64074487615 VP  _belong PP
-8.20019849754 VP  COP WHADVP
-17.2838412165 VP  POS NP
-17.2838412165 VP  VP NP
-5.63544998099 VP  _'s VP
-7.97719116436 VP  _take NP _out SBAR
-8.48795624444 VP  _come _off
-8.8933456781 VP  _come
-8.20031201136 VP  VB _me _to VB NP
-8.8933456781 VP  _to _write
-7.18878334246 VP  _come RB
-17.2838412165 VP  MD NOT WHNP
-5.29625423707 VP  _look PP
-9.5858120462 VP  VBD NP NP PP
-7.97710035021 VP  VBG NP NP
-8.48795624444 VP  _found _*T*
-9.5858120462 VP  VB ADVP PP S
-7.79488474406 VP  _burn NP
-8.8933456781 VP  _go IN _bed
-8.8933456781 VP  _put NP ADVP PP
-8.20031201136 VP  AUX _sitting PP
-8.20031201136 VP  MD _read
-17.2838412165 VP  COP ADJP NP
-17.2838412165 VP  VBG INTJ
-7.50710807228 VP  VBP -NONE-
-5.73655297287 VP  VBZ
-6.45120593856 VP  _look _at NP
-7.97719116436 VP  _tell NP WP S
-7.64074487615 VP  _say UH
-17.2838412165 VP  VBD NP ADVP ADJP
-7.97719116436 VP  _'ve VBN PP
-8.8933456781 VP  _playing _peekaboo PP
-6.32860589468 VP  VB IN NP
-5.56126279037 VP  COP NP
-17.2838412165 VP  COP NP NP NP
-17.2838412165 VP  AUX NOT NP VP CC NP VP
-5.87313675614 VP  _do _n't _know SBAR
-7.28408939397 VP  _leave NP PP
-7.79488474406 VP  AUX _n't _wear NP
-9.58626586967 VP  _gave NP PP S
-7.38944486395 VP  _put PRP _together
-8.48780490127 VP  ADVP VB NP PRT
-6.87860914891 VP  TO VB NNS
-7.18878334246 VP  _'d VP
-17.2838412165 VP  VB NP CC WHNP
-7.97710035021 VP  VBZ VP
-9.5858120462 VP  VP CC NP
-9.58626586967 VP  COP _that NP RB PP
-9.58626586967 VP  VBN RB
-6.87863942304 VP  _come PP
-17.2838412165 VP  AUX ADVP S
-7.97710035021 VP  COP PP ADVP
-7.2840439838 VP  VBG ADVP PP
-9.5858120462 VP  NP VB PP
-9.5858120462 VP  ADVP VB WHNP
-9.58626586967 VP  VBD ADVP _where
-8.20031201136 VP  _'ve VBN
-6.36780774437 VP  _will _n't VP
-7.97719116436 VP  MD _like _to VP
-8.48795624444 VP  _fit _there
-9.58626586967 VP  _mean _*T*
-17.2838412165 VP  TO ADVP
-7.5071648308 VP  COP ADVP PP
-5.78003722595 VP  _like NP
-8.89311868911 VP  COP NP ADVP NP
-7.28408939397 VP  _would VP
-7.02173560906 VP  COP ADVP _*T*
-17.2838412165 VP  COP S
-17.2838412165 VP  AUX S
-6.69629768339 VP  VBP NP SBAR
-17.2838412165 VP  VBG NP ADVP PP
-17.2838412165 VP  MD NP
-8.20031201136 VP  _'s _not VBN
-7.02173560906 VP  _do WP
-6.87863942304 VP  _looking PP
-6.94763013206 VP  _bring NP ADVP
-7.79480906388 VP  VBP WHNP
-8.20031201136 VP  _live -NONE-
-6.81407441198 VP  VBP PP
-8.48795624444 VP  _do NOT _need _to VP
-17.2838412165 VP  NN NP
-9.58626586967 VP  _have
-7.97719116436 VP  VBZ NP _on
-6.40864714683 VP  VBD _it
-8.48780490127 VP  VB NP PRT PP ADVP
-7.38944486395 VP  MD _you VP
-17.2838412165 VP  ADVP VBG
-9.58626586967 VP  _is PRP _alright
-8.8933456781 VP  _'re _all _gone PP
-6.7534264173 VP  COP NP -NONE-
-17.2838412165 VP  MD SBAR
-17.2838412165 VP  VBP ADJP
-7.10177540573 VP  _wants NP
-17.2838412165 VP  COP FRAG CC FRAG
-9.5858120462 VP  ADVP VBG PP
-8.48795624444 VP  _put DT _cork PP
-7.97719116436 VP  _think PRP _'s VP
-8.20031201136 VP  _'s _still PP
-7.38939440859 VP  VBG NP VP
-7.28408939397 VP  _remember
-6.69629768339 VP  VBD PRT
-8.48780490127 VP  VBP S
-9.5858120462 VP  VB ADVP PP PP ADVP
-8.48780490127 VP  VBD ADVP ADVP
-8.48795624444 VP  _know WHADVP NP _is -NONE-
-8.20019849754 VP  VB PP S
-5.32403362593 VP  _be ADJP
-8.8933456781 VP  _mean JJ _*T*
-6.59096491926 VP  VB _to VP
-9.5858120462 VP  MD INTJ , SBAR
-7.10177540573 VP  _can _n't
-7.38944486395 VP  VB _*T* _when NP VP
-7.38944486395 VP  VB NP SBAR -NONE-
